,image,proposed manus
172,P75-Fg053-R-C01-R01-D30072014-T133545-LR445 _PSC,"['4Q524', '4Q404', '4Q82', '4Q266', '4Q423', '4Q51', '4Q524', '4Q266', '4Q39', '6Q17', '4Q176', '4Q266', '4Q177', '4Q458', '4Q524', '4Q275', '4Q284', '4Q381', '4Q206', '4Q418']"
173,P70-Fg012-R-C01-R01-D06092016-T144819-LR445 _PSC,"['4Q5', '4Q52', '4Q34', '4Q184', '4Q34', '4Q261', '4Q543', '4Q437', '4Q161', '4Q580', '4Q57', '4Q83', '4Q531', '4Q226', '4Q531', '4Q83', '4Q317', '4Q103', '4Q204', '4Q27']"
174,P94-Fg029-R-C01-R01-D11062015-T092207-LR445 _PSC,"['4Q18', '4Q161', '4Q238', '4Q57', '4Q51', '4Q38d', '4Q254', '4Q27', '4Q270', '4Q76', '4Q364', '4Q23', '4Q77', '4Q57', '4Q543', '4Q381', '4Q57', '4Q51', '4Q17', '4Q27']"
175,P43-Fg021-R-C01-R01-D01122015-T102413-LR445 _PSC,"['4Q34', '4Q57', '4Q184', '4Q306', '4Q299', '4Q38', '4Q380', '4Q52', '4Q23', '4Q299', '4Q204', '4Q473', '4Q299', '4Q226', '4Q556', '4Q261', '4Q23', '4Q378', '4Q286', '4Q437']"
176,P567-Fg021-R-C01-R01-D20052014-T151821-LR445 _PSC,"['4Q67', '4Q27', '4Q266', '4Q418', '4Q299', '4Q254', '4Q27', '4Q270', '4Q51', '4Q299', '4Q508', '4Q270', '4Q33', '4Q375', 'MUR1', '4Q33', '4Q80', '4Q405', '4Q577', '4Q284']"
177,P90-Fg085-R-C01-R01-D29042015-T101541-LR445 _PSC,"['4Q67', '4Q405', '4Q33', '4Q27', '4Q27', '4Q59', '4Q508', '2Q2', '4Q286', 'MUR1', '4Q365', '4Q286', '4Q284', '4Q27', '4Q270', '4Q552', '4Q493', '4Q178', '4Q426', '4Q364']"
178,P8-Fg066-R-C01-R01-D28062015-T143302-LR445 _PSC,"['4Q558', '4Q196', '4Q196', '4Q391', '4Q498', '4Q196', '4Q541', '4Q208', '4Q502', '4Q502', '4Q223', 'Mas 1f', '4Q382', '4Q502', '4Q502', '4Q502', '6Q16', '4Q498', '4Q432', '4Q502']"
179,P7-Fg040-R-C01-R01-D29032016-T145559-LR445 _PSC,"['4Q502', '4Q502', '4Q474', '6Q23', '4Q558', '6Q7', '6Q29', '4Q391', '4Q502', '4Q422', '4Q382', '4Q382', '4Q196', '4Q502', '4Q558', '4Q546', '4Q382', '4Q196', '6Q26', '4Q196']"
180,P75-Fg027-R-C01-R01-D30072014-T094011-LR445 _PSC,"['4Q402', '4Q530', '4Q30', '4Q299', '4Q51', '4Q56', '4Q418', '4Q57', '11Q10', '4Q78', '4Q477', '11Q11', '4Q284', '4Q545', '11Q18', '4Q471', '4Q525', '4Q202', '4Q204', '4Q415']"
181,P70-Fg041-R-C01-R01-D08092016-T095518-LR445 _PSC,"['4Q405', '2Q2', '4Q286', '4Q364', '4Q27', '4Q67', 'MUR1', '4Q286', '4Q59', '4Q508', '4Q51', '4Q58', '4Q364', '4Q299', '4Q243', '4Q27', '4Q51', '4Q27', '4Q284', '4Q364']"
182,P95-Fg073-R-C01-R01-D07072015-T130024-LR445 _PSC,"['4Q27', '4Q537', '4Q418', '4Q39', '4Q299', '4Q418', '4Q554', '4Q30', '4Q176', '4Q404', '4Q51', '4Q508', '4Q57', '4Q270', '4Q286', '4Q42', '4Q160', '4Q405', '4Q364', '4Q266']"
183,P93-Fg018-R-C01-R01-D26052015-T143756-LR445 _PSC,"['4Q477', '4Q26', '4Q538', '4Q545', '11Q10', '4Q525', '11Q18', '4Q184', '11Q11', '4Q30', '4Q415', '4Q404', '4Q530', '4Q27', '4Q550', '4Q13', '4Q57', '4Q471', '4Q204', '4Q422']"
184,P96-Fg008-R-C01-R01-D10082015-T135829-LR445 _PSC,"['4Q72', '1Q28b-664', '2Q18', '1Q29', '4Q61', '4Q56', '4Q226', '4Q342', '2Q24', '4Q10', '2Q24', '4Q416', '4Q261', '4Q49', '2Q23', '1Q29', '2Q24', '4Q299', '4Q321', '4Q73']"
185,P69-Fg047-R-C02-R01-D27122015-T095931-LR445 _PSC,"['11Q11', '4Q184', '4Q417', '4Q415', '4Q471', '4Q204', '4Q209', '4Q477', '4Q530', '4Q550', '4Q30', '11Q10', '4Q422', '4Q26', '4Q545', '4Q418', '4Q13', '4Q525', '4Q27', '4Q27']"
186,P96-Fg049-R-C01-R01-D12082015-T095602-LR445 _PSC,"['4Q405', '4Q299', '4Q418', '4Q161', '4Q379', '4Q244', '4Q27', '4Q286', '4Q39', '4Q51', '4Q508', '4Q51', '4Q51', '4Q270', '4Q418', '4Q176', '4Q27', 'MUR1', '4Q493', '4Q537']"
187,P96-Fg084-R-C01-R01-D13082015-T095850-LR445 _PSC,"['4Q419', '4Q402', '4Q299', '4Q48', '4Q27', '4Q160', '11Q18', '4Q204', '4Q418', '4Q418', '4Q51', '2Q22', '4Q418', '4Q538', '11Q18', 'MUR1', '4Q244', '4Q267', '11Q18', '4Q80']"
188,P7-Fg128-R-C01-R01-D04042016-T133423-LR445 _PSC,"['4Q558', '4Q391', '6Q7', '4Q196', '4Q502', '4Q196', '4Q224', '6Q23', '4Q282', '4Q382', '4Q382', '4Q196', 'MUR38', '4Q502', '4Q432', '4Q196', '4Q196', '4Q196', '4Q382', '4Q502']"
189,P96-Fg003-R-C01-R01-D10082015-T132149-LR445 _PSC,"['4Q426', '4Q164', '4Q99', '4Q113', '4Q167', '4Q27', '4Q543', '11Q11', '4Q364', '4Q385', '4Q552', '4Q51', '4Q267', '4Q206', '4Q543', '4Q364', '4Q178', '4Q426', '4Q543', '4Q267']"
190,P68-Fg004-R-C01-R01-D06102015-T124838-LR445 _PSC,"['4Q94', '4Q379', '4Q299', '4Q418', '4Q265', '4Q27', '4Q39', '4Q282', '4Q244', '4Q80', '4Q244', '4Q80', '4Q267', '4Q418', 'MUR1', '4Q562', '4Q508', '4Q57', '4Q401', '4Q266']"
191,P8-Fg016-R-C01-R01-D22062015-T125356-LR445 _PSC,"['4Q221', '4Q222', '4Q418', '4Q418', '4Q176', '4Q418', '4Q418', '4Q573', '4Q418', '4Q78', '4Q53', '4Q84', '4Q200', '4Q541', '4Q221', '4Q419', '4Q418', '4Q418', '4Q418', '4Q209']"
192,P75-Fg040-R-C01-R01-D30072014-T113504-LR445 _PSC,"['4Q167', '4Q51', '4Q401', '4Q89', '4Q160', '4Q216', '4Q98g', '11Q10', '4Q47', '4Q299', '4Q23', '4Q57', '4Q161', '4Q161', '4Q51', '4Q80', '4Q38d', '4Q454', '4Q254', '11Q6']"
193,P94-Fg024-R-C01-R01-D11062015-T083927-LR445 _PSC,"['4Q167', '4Q216', '4Q401', '4Q254', '4Q522', '4Q47', '4Q161', '4Q454', '4Q57', '4Q381', '4Q57', '4Q105', '4Q521', '4Q99', '4Q80', '4Q381', '4Q51', '4Q23', '4Q321', '4Q51']"
194,P75-Fg023-R-C01-R01-D29072014-T153623-LR445 _PSC,"['4Q167', '4Q63', '4Q89', '4Q99', '4Q216', '11Q10', '4Q401', '4Q51', '4Q57', '4Q39', '4Q161', '4Q381', '4Q51', '4Q51', '4Q270', '4Q385', '4Q51', '4Q522', '4Q429', '4Q364']"
195,P91-Fg043-R-C01-R01-D30032015-T130358-LR445 _PSC,"['4Q73', '4Q209', '4Q418', '4Q418', '4Q222', '4Q56', '4Q37', '4Q404', '4Q545', '4Q301', '4Q418', '11Q7', '4Q42', '4Q337', '4Q253', '4Q415', '4Q177', '4Q38', '4Q60', '4Q60']"
196,P79-Fg059-R-C01-R01-D24072014-T134901-LR445 _PSC,"['4Q160', '4Q89', '4Q51', '4Q167', '4Q401', '11Q10', '4Q23', '4Q23', '11Q6', '4Q299', '4Q57', '4Q209', '4Q531', '4Q216', '4Q98g', '4Q177', '4Q80', '4Q51', '4Q299', '4Q321']"
197,P94-Fg023-R-C01-R01-D10062015-T140847-LR445 _PSC,"['4Q423', '4Q209', '4Q244', '4Q261', '4Q89', '4Q423', '4Q401', '4Q258', '4Q57', '4Q19', '4Q39', '4Q282', '4Q584', '4Q52', '4Q429', '4Q286', '4Q159', '4Q51', '4Q206', '4Q543']"
198,P70-Fg030-R-C01-R01-D07092016-T142854-LR445 _PSC,"['4Q54', '4Q23', '4Q286', '4Q160', '4Q51', '4Q167', '4Q525', '4Q267', '4Q176', '11Q6', '4Q299', '4Q51', '4Q167', '4Q80', '3Q6', '11Q6', '4Q401', '4Q423', '4Q44', '4Q57']"
199,P75-Fg005-R-C01-R01-D29072014-T130633-LR445 _PSC,"['4Q200', '11Q10', '4Q160', '4Q266', '4Q177', '4Q299', '11Q7', '4Q89', '4Q226', '4Q480', '4Q103', '4Q38c', '4Q530', '4Q259', '4Q27', '4Q60', '4Q82', '4Q521', '4Q57', '4Q531']"
200,P72-Fg013-R-C01-R01-D30082015-T111159-LR445 _PSC,"['4Q99', '4Q385', '4Q543', '4Q365', '4Q182', '4Q389', '4Q525', '4Q27', '4Q10', '4Q381', '4Q206', '4Q522', '4Q206', '4Q270', '4Q95', '4Q266', '4Q522', '4Q27', '4Q33', '4Q522']"
201,P69-Fg008-R-C01-R01-D23122015-T141119-LR445 _PSC,"['4Q73', '11Q7', '4Q42', '4Q418', '4Q23', '4Q60', '4Q404', '4Q337', '4Q177', '4Q38', '4Q299', '4Q58', '4Q209', '4Q404', '4Q56', '4Q381', '4Q30', '11Q17', '4Q299', '4Q220']"
202,P95-Fg045-R-C01-R01-D06072015-T124714-LR445 _PSC,"['4Q423', '4Q209', '4Q244', '4Q418', '4Q258', '4Q423', '4Q418', '4Q253', '4Q584', '4Q261', '4Q418', '4Q89', '4Q54', '4Q401', '4Q299', '4Q299', '4Q418', '4Q286', '4Q160', '4Q524']"
203,P95-Fg062-R-C01-R01-D07072015-T104523-LR445 _PSC,"['4Q209', '4Q89', '4Q299', '4Q258', '4Q177', '4Q160', '4Q73', '4Q57', '4Q507', '4Q418', '4Q256', '4Q521', '4Q418', '4Q266', '4Q83', '4Q174', '11Q10', '4Q38c', '4Q60', '11Q7']"
204,P94-Fg020-R-C01-R01-D10062015-T134415-LR445 _PSC,"['4Q57', '4Q423', '4Q401', '4Q209', '4Q39', '4Q429', '4Q89', '4Q286', '4Q167', '4Q51', '4Q282', '4Q244', '11Q10', '4Q258', '4Q99', '4Q423', '4Q423', '4Q381', '4Q537', '4Q51']"
205,P91-Fg066-R-C01-R01-D31032015-T100923-LR445 _PSC,"['4Q418', '4Q337', '4Q209', '4Q418', '4Q584', '4Q56', '4Q418', '4Q423', '4Q418', '4Q53', '4Q380', '4Q418', '4Q176', '4Q422', '4Q423', '4Q208', '4Q301', '4Q407', '4Q42', '4Q422']"
206,P95-Fg087-R-C01-R01-D08072015-T090212-LR445 _PSC,"['4Q209', '4Q57', '4Q89', '4Q423', '4Q39', '4Q401', '4Q504', '4Q423', '4Q258', '4Q244', '4Q282', '4Q286', '4Q203', '4Q51', '4Q261', '4Q429', '4Q167', '4Q286', '4Q10', '11Q10']"
207,P7-Fg030-R-C01-R01-D29032016-T122849-LR445 _PSC,"['4Q302', '4Q196', '4Q223', '4Q500', '4Q23', '4Q23', '4Q519', '4Q558', '6Q9', '4Q208', '4Q107', '4Q484', '4Q23', '4Q391', 'MUR48', '4Q196', '4Q558', '11Q25', 'MUR48', '4Q519']"
208,P95-Fg051-R-C03-R01-D07072015-T090251-LR445 _PSC,"['4Q214', '4Q479', '4Q264a-110', '4Q57', '11Q6', '4Q83', '4Q418', '4Q51', '4Q209', '4Q176', '4Q383', '4Q536', '4Q177', '4Q44', '4Q213a', '4Q47', '4Q418', '4Q23', '4Q111', '4Q174']"
209,P94-Fg001-R-C01-R01-D10062015-T100117-LR445 _PSC,"['4Q364', '4Q59', '4Q424', '4Q364', '4Q9999', '4Q364', '4Q243', '4Q51', '4Q434', '4Q426', '4Q364', '4Q365', '4Q385', '4Q429', '4Q321', '4Q17', '4Q99', '4Q254', '4Q418', '4Q23']"
210,P90-Fg021-R-C01-R01-D26042015-T141332-LR445 _PSC,"['4Q226', '4Q86', '11Q18', '4Q34', '4Q57', 'Mas 1b', '4Q27', '4Q83', '4Q38c', '4Q521', '4Q174', '4Q282', '4Q83', '4Q421', '11Q17', '4Q73', 'Mas 1b', '4Q420', '4Q550', '4Q256']"
211,P8-Fg096-R-C01-R01-D29062015-T143543-LR445 _PSC,"['4Q265', '4Q418', '4Q176', '4Q418', '4Q502', '4Q541', 'MUR12', 'MUR18', '4Q69', '4Q391', '4Q84', '4Q163', '4Q208', '4Q391', '4Q196', 'MUR24', '4Q502', '4Q196', '4Q382', '4Q382']"
212,P94-Fg088-R-C01-R01-D14062015-T153105-LR445 _PSC,"['4Q206', '4Q416', '4Q419', '4Q275', '4Q282', '4Q423', '4Q82', '4Q284', '4Q58', '4Q524', '4Q537', '4Q89', '4Q51', '4Q84', '4Q261', '4Q410', '4Q98', '4Q214', '4Q404', '4Q258']"
213,P96-Fg055-R-C01-R01-D12082015-T105112-LR445 _PSC,"['4Q521', '4Q379', '4Q381', '4Q33', '4Q99', '4Q423', '4Q51', '4Q176', '4Q267', '4Q429', '4Q379', '4Q158', '11Q17', '4Q374', '4Q381', '4Q51', '4Q27', '4Q206', '4Q167', '4Q63']"
214,P94-Fg065-R-C01-R01-D14062015-T121315-LR445 _PSC,"['4Q423', '4Q416', '4Q275', '4Q282', '4Q206', '4Q419', '4Q261', '4Q214', '4Q284', '4Q524', '4Q404', '4Q51', '4Q98', '4Q203', '4Q84', '4Q450', '4Q57', '4Q58', '4Q82', '4Q404']"
215,P94-Fg010-R-C01-R01-D10062015-T114233-LR445 _PSC,"['4Q266', '4Q51', '4Q172', '4Q287', '4Q39', '4Q423', '4Q537', '4Q176', '4Q158', '4Q379', '4Q27', '4Q521', '4Q381', '4Q51', '4Q286', '4Q267', '4Q524', '4Q423', '4Q365', '4Q381']"
216,P75-Fg020-R-C01-R01-D29072014-T150119-LR445 _PSC,"['4Q86', '4Q226', '4Q27', '4Q34', 'Mas 1b', '4Q57', '4Q420', '11Q18', 'Mas 1a', '4Q266', '4Q83', '4Q83', '4Q437', '4Q282', '11Q17', '4Q521', 'Mas 1b', '4Q38c', '4Q580', '4Q214']"
217,P79-Fg021-R-C01-R01-D23072014-T151723-LR445 _PSC,"['4Q418', '4Q214', '4Q479', '4Q57', '4Q418', '2Q1', '4Q418', '4Q176', '4Q60', '4Q51', '4Q383', '4Q419', '4Q321a-190', '4Q23', '4Q299', '4Q213a', '4Q418', '4Q26', '4Q266', '6Q14']"
218,P7-Fg068-R-C01-R01-D30032016-T144833-LR445 _PSC,"['4Q519', 'MUR115', '4Q519', '4Q558', '4Q196', '4Q502', '6Q9', 'MUR48', '4Q196', '11Q25', '4Q382', '4Q572', '4Q519', 'MUR48', '6Q26', '4Q224', '4Q558', '4Q502', '4Q224', '4Q502']"
219,P69-Fg025-R-C01-R01-D24122015-T103448-LR445 _PSC,"['4Q378', '4Q300', '4Q300', '4Q553', '4Q300', '4Q26', '4Q330', '4Q330', '4Q425', '4Q330', '4Q300', '4Q242', '4Q266', '4Q78', '4Q56', '4Q37', '4Q209', '4Q284', '4Q491', '4Q330']"
220,P82-Fg059-R-C01-R01-D13102013-T100019-LR445 _ColorCalData_IAA_Both_CC110304_110702,"['4Q521', '11Q10', 'WS1', '4Q51', '4Q87', '4Q424', '4Q113', '4Q87', '4Q27', '4Q58', '4Q85', '4Q381', '4Q186', '11Q17', '2Q13', '11Q13', '4Q57', '1Q29', '4Q27', '4Q266']"
221,P82-Fg075-R-C01-R01-D13102013-T143315-LR445 _ColorCalData_IAA_Both_CC110304_110702,"['4Q44', '4Q266', '4Q381', '4Q51', '4Q206', '3Q11', '4Q525', '4Q270', '4Q444', '4Q508', '4Q51', '4Q58', '4Q27', '2Q13', '4Q266', '4Q80', '4Q524', '2Q1', '4Q57', '4Q282']"
222,P43-Fg063-R-C01-R01-D03122015-T132533-LR445 _PSC,"['4Q55', '4Q299', '4Q418', '4Q26', 'WD32', '4Q222', '4Q177', '4Q400', '4Q60', '4Q418', '4Q16', '4Q23', '4Q55', '4Q418', '4Q26', '4Q30', '2Q4', '4Q388', '4Q209', '4Q417']"
223,P94-Fg013-R-C01-R01-D10062015-T120509-LR445 _PSC,"['4Q51', '4Q39', '4Q381', '4Q381', '4Q57', '4Q423', '4Q51', '4Q537', '4Q287', '4Q524', '4Q286', '4Q39', '4Q158', '4Q521', '4Q379', '4Q51', '4Q105', '4Q275', '4Q524', '4Q419']"
224,P68-Fg058-R-C01-R01-D08102015-T090653-LR445 _PSC,"['4Q299', '4Q161', '4Q59', '4Q424', '4Q543', 'WS1', '4Q364', '4Q27', '4Q51', '11Q10', '4Q99', '4Q27', '4Q23', '4Q364', '4Q531', '4Q418', '4Q51', '4Q254', '4Q460', '4Q27']"
225,P69-Fg002-R-C01-R01-D23122015-T132055-LR445 _PSC,"['4Q393', '4Q82', '4Q103', '4Q530', '4Q52', 'Mas 1b', '4Q83', '4Q504', '4Q388', '4Q243', '4Q388', '4Q259', '4Q82', '4Q364', '4Q82', '4Q531', '4Q57', '4Q230', '4Q543', '4Q113']"
226,P91-Fg040-R-C01-R01-D30032015-T124207-LR445 _PSC,"['4Q26', '4Q299', '4Q216', '11Q18', '4Q57', '4Q176', '4Q23', '4Q158', '4Q530', '4Q48', '4Q402', '4Q383', '4Q51', '4Q265', '4Q264a-110', '4Q470', '4Q531', '4Q379', '4Q402', '4Q23']"
227,P69-Fg058-R-C02-R01-D27122015-T144629-LR445 _PSC,"['11Q6', '4Q413', '4Q9999', '4Q554', '4Q388', '4Q256', '4Q438', '4Q266', '4Q418', '4Q27', '4Q60', '4Q570', '4Q580', '4Q60', '4Q299', '4Q184', '4Q420', 'Mas 1a', '4Q47', '4Q415']"
228,P75-Fg070-R-C01-R01-D31072014-T093443-LR445 _PSC,"['4Q266', '4Q88', '2Q2', '4Q267', '4Q261', 'MUR59', '4Q419', '4Q458', '4Q253', '6Q15', '4Q402', '4Q282', '4Q176', '4Q44', '4Q379', '4Q266', '4Q51', '4Q418', '2Q2', '4Q54']"
229,P79-Fg032-R-C01-R01-D24072014-T094435-LR445 _PSC,"['4Q224', '4Q418', '4Q383', '4Q543', '4Q418', '4Q26', '4Q418', '4Q404', '4Q78', '4Q265', '4Q418', '4Q381', '4Q216', '4Q299', '4Q417', '4Q177', '4Q275', '4Q170', '4Q221', '4Q57']"
230,P8-Fg080-R-C01-R01-D29062015-T114116-LR445 _PSC,"['4Q502', '4Q572', '4Q223', '4Q502', '4Q208', '11Q25', '4Q224', 'MUR115', '4Q558', '6Q26', '4Q502', '4Q391', '4Q422', '4Q502', '4Q382', '4Q558', '4Q391', '4Q558', '4Q224', '4Q558']"
231,P74-Fg053-R-C01-R01-D09082015-T125848-LR445 _PSC,"['4Q364', '4Q27', '4Q319', '4Q99', '4Q99', '4Q51', '4Q51', '4Q364', '4Q95', '4Q182', '4Q535', '4Q206', '4Q76', '4Q385', '4Q365', '4Q33', '4Q389', '4Q543', '4Q27', '4Q429']"
232,P95-Fg115-R-C01-R01-D08072015-T153010-LR445 _PSC,"['4Q78', '4Q282', '11Q17', '4Q57', '4Q421', '4Q56', '4Q286', '4Q160', '4Q27', '4Q378', '4Q26', '4Q170', '4Q56', '4Q37', '4Q53', '4Q543', '4Q261', '4Q560', '4Q216', '4Q422']"
233,P70-Fg063-R-C01-R01-D11092016-T105552-LR445 _PSC,"['4Q381', '4Q525', '4Q51', '4Q182', '4Q426', '4Q524', '4Q364', '4Q389', '4Q389', '4Q364', '4Q27', '4Q460', '4Q27', '4Q424', '4Q319', '4Q23', '4Q206', '4Q27', '4Q27', '4Q243']"
234,P69-Fg019-R-C01-R01-D24122015-T094357-LR445 _PSC,"['4Q259', '4Q26', '4Q38', '4Q422', '4Q422', '4Q220', '4Q422', '4Q42', '4Q284', '4Q547', '4Q82', '4Q213', '4Q56', '4Q418', '4Q380', '4Q381', '4Q209', '4Q37', '4Q208', '4Q330']"
235,P93-Fg022-R-C01-R01-D26052015-T150923-LR445 _PSC,"['11Q17', '4Q543', '4Q164', '4Q172', '4Q170', 'Mas 1', '4Q18', '4Q543', '4Q284', '4Q389', '4Q177', '4Q525', '4Q456', '4Q197', '4Q381', '4Q419', '4Q51', '4Q105', '4Q51', '4Q57']"
236,P79-Fg011-R-C01-R01-D23072014-T133942-LR445 _PSC,"['4Q379', '4Q164', '4Q418', '4Q51', '4Q18', '4Q206', '4Q543', '4Q525', '4Q508', '4Q161', '4Q23', '4Q404', '4Q282', '4Q58', '4Q27', '11Q17', '4Q206', '4Q62', '4Q57', '4Q365']"
237,P94-Fg064-R-C01-R01-D14062015-T120600-LR445 _PSC,"['4Q418', '4Q89', '4Q423', '4Q547', '4Q430', '4Q418', '4Q419', '4Q56', '4Q265', '4Q437', '4Q422', '4Q284', '4Q209', '4Q300', '4Q78', '4Q584', '4Q160', '4Q269', '4Q491', '4Q282']"
238,P82-Fg087-R-C01-R01-D15102013-T101802-LR445 _ColorCalData_IAA_Left_CC110304_110702,"['4Q521', '11Q18', '11Q18', '11Q17', '4Q402', '11Q18', '1Q5', '4Q44', '4Q158', '11Q18', '4Q51', '4Q176', '2Q2', '11Q6', '11Q18', '4Q26', '4Q213', '11Q18', '4Q383', '4Q27']"
239,P915-Fg024-R-C01-R01-D15102015-T111415-LR445 _PSC,"['6Q18', '4Q221', '4Q176', '4Q418', '4Q418', '4Q418', '4Q546', 'MUR12', '4Q265', '4Q418', '4Q541', '4Q502', '4Q224', '4Q418', '4Q477', '4Q176', '4Q224', '4Q418', '4Q163', 'MUR38']"
240,P915-Fg020-R-C01-R01-D15102015-T104315-LR445 _PSC,"['4Q419', '4Q286', '4Q9999', '4Q416', '4Q197', '4Q159', '4Q321', '4Q410', '4Q49', '4Q209', '4Q57', '4Q89', '4Q557', '4Q258', '2Q33', '4Q206', '4Q34', '4Q436', '4Q419', '4Q83']"
241,P73-Fg042-R-C01-R01-D23082015-T092243-LR445 _PSC,"['4Q57', '4Q401', '4Q51', '4Q381', '4Q522', '4Q429', '4Q429', '4Q99', '4Q286', '4Q381', '4Q521', '4Q51', '4Q270', '4Q57', '4Q27', '4Q39', '4Q381', '4Q379', '4Q167', '4Q57']"
242,P82-Fg035-R-C01-R01-D09102013-T110506-LR445 _ColorCalData_IAA_Both_CC110304_110702,"['4Q167', '4Q176', '3Q6', '4Q51', '4Q281', '4Q51', '4Q381', '4Q537', '4Q267', '4Q360', '2Q2', '4Q51', '4Q266', '4Q266', '4Q402', '4Q80', '4Q54', '4Q389', '4Q38d', '4Q261']"
243,P96-Fg034-R-C01-R01-D11082015-T135859-LR445 _PSC,"['4Q401', '4Q57', '4Q51', '4Q39', '4Q51', '4Q282', '4Q51', '4Q286', '4Q423', '4Q244', '4Q57', '4Q423', '4Q167', '4Q51', '4Q381', '4Q32', '4Q266', '4Q524', '4Q89', '4Q429']"
244,P567-Fg026-R-C01-R01-D21052014-T092005-LR445 _PSC,"['4Q522', '4Q105', '4Q381', '4Q38d', '4Q254', '4Q552', '4Q381', '4Q98g', '4Q51', '4Q216', '4Q543', '4Q47', '4Q27', '4Q521', '4Q537', '4Q51', '4Q161', '4Q57', '4Q321', '4Q364']"
245,P94-Fg012-R-C01-R01-D10062015-T115737-LR445 _PSC,"['4Q197', '4Q282', '4Q423', '4Q275', '4Q51', '4Q206', '4Q401', '4Q244', '4Q419', '4Q524', '4Q410', '4Q57', '4Q419', '4Q51', '4Q32', '4Q419', '4Q57', '4Q299', '4Q266', '4Q258']"
246,P95-Fg060-R-C01-R01-D07072015-T103029-LR445 _PSC,"['11Q10', '4Q160', '4Q531', '4Q401', '4Q256', '4Q83', '11Q6', '4Q521', '4Q174', '4Q57', '4Q531', '4Q89', '11Q6', '4Q299', '4Q9999', '4Q23', '4Q177', '4Q23', '4Q23', '4Q364']"
247,P43-Fg048-R-C01-R01-D01122015-T172237-LR445 _PSC,"['4Q302', '4Q196', '4Q519', '4Q558', '4Q500', 'MUR48', '6Q9', '4Q558', '4Q519', '4Q519', '4Q558', '4Q382', 'MUR48', 'MUR115', '11Q25', '4Q382', '4Q196', '4Q208', '4Q196', '4Q519']"
248,P96-Fg044-R-C01-R01-D12082015-T091628-LR445 _PSC,"['4Q401', '4Q282', '4Q51', '4Q244', '4Q51', '4Q57', '4Q423', '4Q266', '4Q89', '4Q57', '4Q51', '4Q197', '4Q423', '4Q524', '4Q209', '4Q286', '4Q39', '4Q32', '4Q423', '4Q410']"
249,P43-Fg049-R-C01-R01-D03122015-T110410-LR445 _PSC,"['4Q418', '4Q422', '4Q418', '4Q38', '4Q380', '4Q55', '4Q422', '4Q337', '4Q56', '4Q78', '4Q491', '4Q491', '4Q221', '4Q299', '4Q418', '4Q380', '4Q42', '4Q477', '4Q546', '4Q546']"
250,P91-Fg031-R-C01-R01-D29032015-T141519-LR445 _PSC,"['4Q222', '4Q42', '4Q58', '4Q51', '4Q73', '4Q404', '11Q17', '11Q7', '4Q56', '4Q418', '4Q60', '4Q55', '4Q418', '4Q299', '4Q334', '4Q37', '4Q525', '4Q103', '4Q23', '4Q299']"
251,P71-Fg003-R-C01-R01-D08092015-T140436-LR445 _PSC,"['4Q23', '4Q51', '4Q54', '4Q418', '4Q244', '4Q174', '2Q2', '4Q51', '4Q423', '11Q6', '4Q51', '4Q479', '4Q51', '4Q524', '4Q160', '4Q42', '4Q57', '4Q83', '4Q401', '4Q299']"
252,P94-Fg019-R-C01-R01-D10062015-T132913-LR445 _PSC,"['4Q286', '2Q23', '4Q7', '4Q504', '4Q543', '4Q72', '4Q389', '2Q23', '4Q61', '4Q99', '4Q73', '4Q41', '4Q282', '2Q24', '1Q29', '2Q23', '4Q379', '3Q6', '4Q10', '4Q27']"
253,P90-Fg007-R-C01-R01-D26042015-T112715-LR445 _PSC,"['4Q34', '4Q226', '4Q416', '4Q200', '4Q256', 'Mas 1b', '4Q58', '4Q216', '4Q521', '11Q7', '11Q18', '4Q230', '4Q60', 'Mas 1b', '4Q266', '4Q177', '11Q6', '4Q57', '4Q38c', '11Q17']"
254,P93-Fg056-R-C01-R01-D27052015-T150358-LR445 _PSC,"['4Q51', '4Q282', '4Q89', '4Q39', '4Q401', '4Q244', '4Q57', '4Q209', '4Q421', '4Q423', '4Q51', '4Q410', '4Q197', '4Q557', '4Q258', '4Q174', '4Q51', '4Q460', '4Q32', '4Q51']"
255,P93-Fg011-R-C01-R01-D26052015-T134140-LR445 _PSC,"['4Q256', '4Q23', '4Q416', '4Q51', '4Q545', '4Q103', '4Q177', '4Q216', '4Q37', '4Q418', '4Q42', '4Q73', '4Q404', '4Q38c', '4Q242', '4Q470', '11Q7', '11Q17', '4Q222', '4Q299']"
256,P76-Fg055-R-C01-R01-D06082014-T104354-LR445 _PSC,"['4Q27', '4Q27', '4Q106', '4Q167', '4Q51', '4Q23', '1Q8', '4Q27', '4Q51', '4Q543', '4Q33', '4Q51', '4Q524', '4Q418', '4Q27', '4Q418', '4Q390', '4Q27', '4Q51', '4Q381']"
257,P93-Fg040-R-C01-R01-D27052015-T115002-LR445 _PSC,"['4Q388', '4Q9999', '4Q174', '4Q27', '4Q491', '4Q176', '4Q550', '11Q6', '4Q86', '4Q55', '4Q73', '4Q266', '4Q400', '4Q23', '4Q82', '4Q23', '4Q184', '4Q27', '2Q4', '4Q5']"
